ref_date,geo,noc_code,noc_desc,job_char,total_vacancies,sentiment_score,predicted_total_vacancies
2019-01-01,New Brunswick,7,"Trades, transport and equipment operators and related occupations","Type of work, all types",1070.0,1.826354,
2019-01-01,New Brunswick,9,Occupations in manufacturing and utilities,Full-time,800.0,1.826354,
2019-01-01,New Brunswick,9,Occupations in manufacturing and utilities,Part-time,130.0,1.826354,
2019-01-01,New Brunswick,9,Occupations in manufacturing and utilities,"Type of work, all types",925.0,1.826354,
2019-01-01,New Brunswick,101,"Total, all occupations",Full-time,6010.0,1.826354,
2019-01-01,New Brunswick,101,"Total, all occupations",Part-time,1825.0,1.826354,
2019-01-01,New Brunswick,101,"Total, all occupations","Type of work, all types",7840.0,1.826354,
2019-01-01,Newfoundland and Labrador,1,"Business, finance and administration occupations",Full-time,355.0,1.826354,
2019-01-01,Newfoundland and Labrador,1,"Business, finance and administration occupations","Type of work, all types",445.0,1.826354,
2019-01-01,Newfoundland and Labrador,2,Natural and applied sciences and related occupations,Full-time,235.0,1.826354,
2019-01-01,Newfoundland and Labrador,2,Natural and applied sciences and related occupations,"Type of work, all types",260.0,1.826354,
2019-01-01,Newfoundland and Labrador,3,Health occupations,Full-time,245.0,1.826354,
2019-01-01,Newfoundland and Labrador,3,Health occupations,Part-time,285.0,1.826354,
2019-01-01,Newfoundland and Labrador,3,Health occupations,"Type of work, all types",530.0,1.826354,
2019-01-01,Newfoundland and Labrador,4,"Occupations in education, law and social, community and government services",Full-time,175.0,1.826354,
2019-01-01,Newfoundland and Labrador,4,"Occupations in education, law and social, community and government services",Part-time,105.0,1.826354,
2019-01-01,Newfoundland and Labrador,4,"Occupations in education, law and social, community and government services","Type of work, all types",280.0,1.826354,
2019-01-01,Newfoundland and Labrador,6,Sales and service occupations,Full-time,595.0,1.826354,
2019-01-01,Newfoundland and Labrador,6,Sales and service occupations,Part-time,535.0,1.826354,
2019-01-01,Newfoundland and Labrador,6,Sales and service occupations,"Type of work, all types",1130.0,1.826354,
2019-01-01,Newfoundland and Labrador,7,"Trades, transport and equipment operators and related occupations",Full-time,390.0,1.826354,
